asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-12-10 01:00:00,1575936000,0.033629,0.032872,4818539.97195914
ADAEUR,ADA/EUR,ADA,EUR,2019-12-11 01:00:00,1576022400,0.032872,0.032996,1369408.58296792
ADAEUR,ADA/EUR,ADA,EUR,2019-12-12 01:00:00,1576108800,0.033,0.032687,1068143.87030488
ADAEUR,ADA/EUR,ADA,EUR,2019-12-13 01:00:00,1576195200,0.032741,0.033491,2172443.70390514
ADAEUR,ADA/EUR,ADA,EUR,2019-12-14 01:00:00,1576281600,0.033499,0.032592,1642715.58036358
ADAEUR,ADA/EUR,ADA,EUR,2019-12-15 01:00:00,1576368000,0.032594,0.032828,942107.43593307
ADAEUR,ADA/EUR,ADA,EUR,2019-12-16 01:00:00,1576454400,0.03266,0.03062,3886297.12360073
ADAEUR,ADA/EUR,ADA,EUR,2019-12-17 01:00:00,1576540800,0.030525,0.028307,4520834.88355592
ADAEUR,ADA/EUR,ADA,EUR,2019-12-18 01:00:00,1576627200,0.028229,0.030888,7134279.46196223
ADAEUR,ADA/EUR,ADA,EUR,2019-12-19 01:00:00,1576713600,0.030891,0.029634,3706073.64659198
ADAEUR,ADA/EUR,ADA,EUR,2019-12-20 01:00:00,1576800000,0.029773,0.030549,2961141.41831299
ADAEUR,ADA/EUR,ADA,EUR,2019-12-21 01:00:00,1576886400,0.030513,0.03,1489440.03479676
ADAEUR,ADA/EUR,ADA,EUR,2019-12-22 01:00:00,1576972800,0.029988,0.03114,2610722.30380444
ADAEUR,ADA/EUR,ADA,EUR,2019-12-23 01:00:00,1577059200,0.031182,0.029918,4683597.4867118
ADAEUR,ADA/EUR,ADA,EUR,2019-12-24 01:00:00,1577145600,0.029836,0.030577,2113727.08527492
ADAEUR,ADA/EUR,ADA,EUR,2019-12-25 01:00:00,1577232000,0.030506,0.030142,2270527.34180388
ADAEUR,ADA/EUR,ADA,EUR,2019-12-26 01:00:00,1577318400,0.03013,0.030754,1584737.46527631
ADAEUR,ADA/EUR,ADA,EUR,2019-12-27 01:00:00,1577404800,0.030762,0.029395,5790667.80988348
ADAEUR,ADA/EUR,ADA,EUR,2019-12-28 01:00:00,1577491200,0.029399,0.030077,3104101.66292824
ADAEUR,ADA/EUR,ADA,EUR,2019-12-29 01:00:00,1577577600,0.03004,0.030593,1212595.25478125
ADAEUR,ADA/EUR,ADA,EUR,2019-12-30 01:00:00,1577664000,0.030448,0.029843,3474950.05691493
